10,-200.0,-146.03888854980468
20,-200.0,-156.7631591796875
30,-200.0,-161.54827728271485
40,-200.0,-164.63205108642578
50,-200.0,-166.86224670410155
60,-200.0,-168.4601707458496
70,-200.0,-169.7304328918457
80,-200.0,-170.9816452026367
90,-200.0,-171.9539337158203
100,-199.9717170715332,-172.94393920898438
110,-199.9720001220703,-176.0370002746582
120,-199.9720001220703,-177.4760009765625
130,-199.9720001220703,-178.27350082397462
140,-199.9720001220703,-178.93499832153321
150,-199.9720001220703,-179.74800033569335
160,-199.9720001220703,-180.40899810791015
170,-199.94850006103516,-180.83900146484376
180,-199.94850006103516,-181.14150009155273
190,-199.93050003051758,-181.55950241088868
200,-199.95849990844727,-181.72049942016602
210,-199.94349975585936,-182.1184989929199
220,-199.94349975585936,-182.3284996032715
230,-199.94349975585936,-182.854500579834
240,-199.9134994506836,-183.28150024414063
250,-199.87949905395507,-183.2334991455078
260,-199.85599899291992,-183.2739990234375
270,-199.8104995727539,-183.4895004272461
280,-199.7699996948242,-183.60600051879882
290,-199.7669990539551,-183.73550109863282
300,-199.7305000305176,-183.87849960327148
310,-199.6599998474121,-183.98049926757812
320,-199.59300003051757,-184.2219985961914
330,-199.51850051879882,-184.3479995727539
340,-199.53850021362305,-184.59850006103517
350,-199.5504997253418,-184.8845001220703
360,-199.5379981994629,-184.88650131225586
370,-199.60699920654298,-185.09750061035157
380,-199.6344985961914,-185.24550170898436
390,-199.63099746704103,-185.37449798583984
400,-199.57399826049806,-185.24050064086913
410,-199.56799850463867,-185.29500045776368
420,-199.6349983215332,-185.4010009765625
430,-199.7094985961914,-185.52999954223634
440,-199.6984992980957,-185.47050018310546
450,-199.6734992980957,-185.4644989013672
460,-199.70949935913086,-185.5875
470,-199.65949935913085,-185.57000122070312
480,-199.65350036621095,-185.56100006103514
490,-199.6504997253418,-185.5279998779297
500,-199.73399963378907,-185.71899948120117
510,-199.80849990844726,-185.70000076293945
520,-199.76650009155273,-185.62250061035155
530,-199.6974998474121,-185.63000030517577
540,-199.69899978637696,-185.54950103759765
550,-199.74599990844726,-185.54000015258788
560,-199.74599990844726,-185.6364990234375
570,-199.77050018310547,-185.6235008239746
580,-199.74599990844726,-185.6150016784668
590,-199.71650009155275,-185.55499954223632
600,-199.69850006103516,-185.5470001220703
610,-199.69649963378907,-185.62850112915038
620,-199.68050003051758,-185.6490005493164
630,-199.72750015258788,-185.49750061035155
640,-199.67950057983398,-185.36149978637695
650,-199.6425003051758,-185.42599868774414
660,-199.60100021362305,-185.51800003051758
670,-199.57500076293945,-185.48200073242188
680,-199.56000061035155,-185.39050064086913
690,-199.55699996948243,-185.38000030517577
700,-199.5784996032715,-185.51800003051758
710,-199.52799911499022,-185.63150024414062
720,-199.53749923706056,-185.77099990844727
730,-199.51249923706055,-185.8640007019043
740,-199.57999954223632,-186.13500213623047
750,-199.60699920654298,-186.08050079345702
760,-199.50449981689454,-186.1130012512207
770,-199.55299911499023,-186.1265007019043
780,-199.5875,-186.27750091552736
790,-199.60600051879882,-186.13350143432618
800,-199.52350082397462,-186.10149917602538
810,-199.55000076293945,-186.014501953125
820,-199.5240005493164,-185.80799942016603
830,-199.51050033569337,-185.70400009155273
840,-199.40950088500978,-185.69999923706055
850,-199.37950057983397,-185.87900009155274
860,-199.47449951171876,-185.9185012817383
870,-199.36949920654297,-185.78199996948243
880,-199.3739990234375,-185.83499908447266
890,-199.40899887084962,-186.12850036621094
900,-199.47049942016602,-186.04150009155273
910,-199.47099914550782,-186.0870002746582
920,-199.5084991455078,-186.17099990844727
930,-199.4849998474121,-186.26149978637696
940,-199.58600006103515,-186.21250076293944
950,-199.60650100708008,-185.9390007019043
960,-199.64300003051758,-185.96599960327148
970,-199.7354995727539,-186.0354995727539
980,-199.7404998779297,-185.86249923706055
990,-199.68600006103514,-185.67800064086913
1000,-199.67350006103516,-185.66450042724608
