10,-495.22222222222223
20,-433.1578947368421
30,-399.9655172413793
40,-385.2564102564103
50,-395.2857142857143
60,-410.5593220338983
70,-423.5217391304348
80,-433.2025316455696
90,-440.70786516853934
100,-446.6969696969697
110,-447.66
120,-459.93
130,-476.24
140,-491.98
150,-498.54
160,-500.0
170,-500.0
180,-500.0
190,-500.0
200,-500.0
210,-500.0
10,-499.1111111111111
20,-497.8421052631579
30,-498.55172413793105
40,-498.84615384615387
50,-499.0408163265306
60,-499.1864406779661
70,-499.28985507246375
80,-499.3544303797468
