10,23.0
20,20.31578947368421
30,23.724137931034484
40,25.94871794871795
50,26.183673469387756
60,24.779661016949152
70,23.63768115942029
80,22.873417721518987
90,21.921348314606742
100,21.97979797979798
110,21.44
120,21.47
130,20.08
140,18.24
150,17.21
160,17.54
170,17.48
180,17.71
190,17.91
200,18.05
210,18.17
220,19.17
230,19.37
240,19.84
250,19.8
260,20.36
270,21.59
280,23.18
290,24.8
300,25.91
310,27.81
320,28.94
330,31.01
340,33.85
350,37.54
360,40.22
370,46.25
380,52.36
390,61.13
400,72.32
410,82.32
420,90.16
430,100.26
440,109.44
450,117.48
460,125.23
470,127.43
480,131.84
490,132.84
500,131.4
510,130.32
520,133.1
530,134.95
540,138.07
550,143.93
560,150.53
570,158.92
580,162.9
590,168.01
600,172.11
610,178.49
620,181.65
630,182.67
640,182.69
650,179.49
660,174.99
670,172.36
680,170.31
690,167.96
700,166.93
710,165.27
720,165.35
730,167.19
740,168.33
750,170.27
760,173.89
770,175.61
780,179.05
790,182.98
800,184.89
810,186.68
820,188.87
830,189.44
840,190.56
850,192.59
860,193.22
870,194.65
880,195.18
890,195.46
900,197.23
910,198.03
920,198.03
930,198.55
940,199.26
950,199.26
960,199.8
970,199.8
980,199.8
990,199.8
1000,199.8
