10,-200.0
20,-200.0
30,-200.0
40,-200.0
50,-200.0
60,-200.0
70,-200.0
80,-200.0
90,-200.0
100,-200.0
110,-200.0
120,-200.0
130,-200.0
140,-200.0
150,-200.0
160,-200.0
170,-200.0
180,-200.0
190,-200.0
200,-200.0
210,-199.39
220,-199.39
230,-199.39
240,-199.39
250,-199.39
260,-199.39
270,-199.39
280,-199.39
290,-198.74
300,-198.74
310,-199.35
320,-199.25
330,-199.25
340,-199.25
350,-199.25
360,-199.25
370,-198.86
380,-198.56
390,-199.21
400,-199.21
410,-199.21
420,-198.86
430,-198.31
440,-198.31
450,-197.53
460,-197.53
470,-197.92
480,-198.22
490,-198.22
500,-198.22
510,-198.22
520,-198.07
530,-198.62
540,-198.62
550,-199.32
560,-199.04
570,-199.04
580,-199.04
590,-198.84
600,-198.34
610,-198.34
620,-198.34
630,-198.34
640,-198.34
650,-198.42
660,-198.7
670,-198.49
680,-198.49
690,-198.69
700,-199.19
710,-198.63
720,-199.23
730,-199.23
740,-199.23
750,-199.23
760,-199.23
770,-199.44
780,-199.16
790,-199.16
800,-199.16
810,-199.72
820,-199.72
830,-199.5
840,-199.27
850,-199.27
860,-199.27
870,-198.98
880,-199.26
890,-199.26
900,-198.53
910,-198.53
920,-197.76
930,-197.98
940,-197.78
950,-197.78
960,-197.78
970,-198.07
980,-197.62
990,-197.62
1000,-198.35
